model,date,actual_change,predicted_change,actual_direction,predicted_direction,mae_bp,error_bp,actual_label,predicted_label
multi_frequency_lstm,2024-08-13,-0.04999999999999982,-0.02240241877734661,0,0,2.759758122265321,2.759758122265321,fall,fall
multi_frequency_lstm,2024-08-14,-0.020000000000000018,-0.02324146404862404,0,0,0.3241464048624021,-0.3241464048624021,fall,fall
multi_frequency_lstm,2024-08-15,0.08999999999999986,-0.01269642636179924,2,0,10.26964263617991,-10.26964263617991,rise,fall
multi_frequency_lstm,2024-08-16,-0.029999999999999805,0.013645561411976814,0,2,4.364556141197662,4.364556141197662,fall,rise
multi_frequency_lstm,2024-08-19,-0.03000000000000025,-0.005962047725915909,0,1,2.403795227408434,2.403795227408434,fall,flat
multi_frequency_lstm,2024-08-20,-0.040000000000000036,-0.014326667413115501,0,0,2.5673332586884534,2.5673332586884534,fall,fall
multi_frequency_lstm,2024-08-21,-0.029999999999999805,-0.020612452179193497,0,0,0.9387547820806308,0.9387547820806308,fall,fall
multi_frequency_lstm,2024-08-22,0.06999999999999984,-0.011526457965373993,2,0,8.152645796537383,-8.152645796537383,rise,fall
multi_frequency_lstm,2024-08-23,-0.04999999999999982,0.01102134957909584,0,2,6.102134957909566,6.102134957909566,fall,rise
multi_frequency_lstm,2024-08-26,0.009999999999999787,-0.007069194223731756,1,1,1.7069194223731543,-1.7069194223731543,flat,flat
multi_frequency_lstm,2024-08-27,0.010000000000000231,-0.0005632286774925888,2,1,1.056322867749282,-1.056322867749282,rise,flat
multi_frequency_lstm,2024-08-28,0.009999999999999787,-0.004948603920638561,1,1,1.4948603920638348,-1.4948603920638348,flat,flat
multi_frequency_lstm,2024-08-29,0.03000000000000025,-0.008325541391968727,2,1,3.8325541391968976,-3.8325541391968976,rise,flat
multi_frequency_lstm,2024-08-30,0.040000000000000036,0.0006347013986669481,2,1,3.9365298601333087,-3.9365298601333087,rise,flat
multi_frequency_lstm,2024-09-03,-0.07000000000000028,0.006809766869992018,0,1,7.68097668699923,7.68097668699923,fall,flat
multi_frequency_lstm,2024-09-04,-0.06999999999999984,-0.009602837264537811,0,1,6.039716273546203,6.039716273546203,fall,flat
multi_frequency_lstm,2024-09-05,-0.040000000000000036,-0.018991202116012573,0,0,2.1008797883987462,2.1008797883987462,fall,fall
multi_frequency_lstm,2024-09-06,-0.009999999999999787,-0.010378978215157986,1,0,0.037897821515819885,-0.037897821515819885,flat,fall
multi_frequency_lstm,2024-09-09,-0.020000000000000018,8.635974518256262e-05,0,1,2.008635974518258,2.008635974518258,fall,flat
multi_frequency_lstm,2024-09-10,-0.050000000000000266,0.00815540924668312,0,1,5.815540924668339,5.815540924668339,fall,flat
multi_frequency_lstm,2024-09-11,0.0,0.0053899395279586315,1,1,0.5389939527958632,0.5389939527958632,flat,flat
multi_frequency_lstm,2024-09-12,0.03000000000000025,-0.0017494050553068519,2,1,3.17494050553071,-3.17494050553071,rise,flat
multi_frequency_lstm,2024-09-13,-0.020000000000000018,0.005922171287238598,0,1,2.5922171287238616,2.5922171287238616,fall,flat
multi_frequency_lstm,2024-09-16,-0.03000000000000025,-0.018836649134755135,0,0,1.1163350865245114,1.1163350865245114,fall,fall
multi_frequency_lstm,2024-09-17,0.020000000000000018,-0.015906110405921936,2,0,3.5906110405921954,-3.5906110405921954,rise,fall
multi_frequency_lstm,2024-09-18,0.050000000000000266,-0.0057291304692626,2,1,5.572913046926287,-5.572913046926287,rise,flat
multi_frequency_lstm,2024-09-19,0.029999999999999805,0.008317760191857815,2,1,2.168223980814199,-2.168223980814199,rise,flat
multi_frequency_lstm,2024-09-20,0.0,0.0021808003075420856,1,1,0.21808003075420856,0.21808003075420856,flat,flat
multi_frequency_lstm,2024-09-23,0.020000000000000018,-0.0053025102242827415,2,1,2.530251022428276,-2.530251022428276,rise,flat
multi_frequency_lstm,2024-09-24,-0.009999999999999787,-0.005196529906243086,1,1,0.4803470093756701,0.4803470093756701,flat,flat
multi_frequency_lstm,2024-09-25,0.04999999999999982,-0.0067073809914290905,2,1,5.670738099142891,-5.670738099142891,rise,flat
multi_frequency_lstm,2024-09-26,0.0,0.00487569160759449,1,1,0.487569160759449,0.487569160759449,flat,flat
multi_frequency_lstm,2024-09-27,-0.040000000000000036,-0.006709892302751541,0,1,3.3290107697248494,3.3290107697248494,fall,flat
multi_frequency_lstm,2024-09-30,0.06000000000000005,-0.0012645161477848887,2,1,6.126451614778494,-6.126451614778494,rise,flat
