scenario,3M,6M,1Y,2Y,5Y,10Y,30Y
47,3.94314193427158,4.005412981697434,4.123679195057081,4.322997874376129,4.497755720157494,4.779945072182106,5.229515826345119
48,3.9384930698186476,3.9923651763617114,4.127411626782118,4.385043150741671,4.577246537634751,4.856270954116598,5.294806810890754
49,3.953177603109942,4.027606393544875,4.159985110250356,4.379502013641602,4.591156975556117,4.85110290767934,5.290515982999496
50,3.8917849065185215,3.964532165173964,4.104521704087897,4.393088222195041,4.573923351683331,4.778763824349422,5.250342252856624
51,3.9216042204352712,3.976392495542734,4.142940235012807,4.381456779337336,4.5521508751234085,4.782933528569377,5.259977391201008
52,3.963441332149344,3.998152943796847,4.163436866902635,4.399428494059888,4.555736411046175,4.79108110156635,5.2307799571224525
53,3.9242070940102987,3.9641241884501786,4.128215037941782,4.388601531038657,4.579897378526853,4.823170001689344,5.2717701057635855
54,3.93975047191575,3.9701143768118143,4.121801497917977,4.355736819069419,4.4818880299857256,4.751083505886505,5.236728407773847
55,3.92570244480964,4.017031361489061,4.135573061689363,4.349110587855401,4.491940311254555,4.742769236615129,5.18301036241868
56,3.9403895927324135,4.035395499256203,4.13974082336207,4.406948969360666,4.595861227573853,4.843477610522367,5.301014091918902
57,3.957123106408455,3.999191407050406,4.1512920708657095,4.394802252334364,4.582016281065463,4.822008255654529,5.297038489663337
58,3.952378016484801,4.014912713981359,4.174630234511886,4.408054466760715,4.593446358051573,4.834875386007594,5.287524836988044
59,3.9042435431233242,3.996568204729372,4.1116973219443285,4.418999302512215,4.590112052711461,4.820268970377789,5.243588638680662
60,3.947259576563845,3.9966395399949923,4.151288470906533,4.371653820207357,4.53942684832034,4.7498413899287995,5.24153698147355
61,3.96114848358124,4.009166818489368,4.13999553125036,4.404529010766269,4.587145167709525,4.796013933818213,5.225867594512541
62,3.973871672159622,3.9979096275230264,4.129772906494927,4.36756054926194,4.490437713439505,4.7307182178664,5.164978989846924
